iter	Passed	Remaining
600	2239	1486
601	2242	1482
602	2245	1478
603	2250	1475
604	2253	1471
605	2256	1466
606	2258	1462
607	2264	1460
608	2267	1456
609	2270	1451
610	2273	1447
611	2276	1443
612	2282	1440
613	2285	1436
614	2288	1432
615	2291	1428
616	2296	1425
617	2300	1422
618	2304	1418
619	2306	1413
620	2312	1411
621	2315	1407
622	2318	1403
623	2321	1398
624	2325	1395
625	2330	1392
626	2333	1388
627	2336	1383
628	2339	1379
629	2344	1376
630	2347	1372
631	2350	1368
632	2353	1364
633	2357	1360
634	2362	1357
635	2366	1354
636	2369	1350
637	2373	1346
638	2378	1343
639	2381	1339
640	2384	1335
641	2387	1331
642	2393	1328
643	2397	1325
644	2400	1321
645	2403	1316
646	2408	1313
647	2411	1310
648	2414	1305
649	2417	1301
650	2420	1297
651	2426	1294
652	2429	1291
653	2433	1287
654	2436	1283
655	2441	1280
656	2445	1276
657	2448	1272
658	2451	1268
659	2455	1264
660	2459	1261
661	2462	1257
662	2465	1253
663	2468	1249
664	2473	1245
665	2476	1241
666	2479	1237
667	2482	1233
668	2484	1229
669	2491	1227
670	2494	1223
671	2497	1218
672	2500	1214
673	2506	1212
674	2509	1208
675	2512	1204
676	2515	1200
677	2519	1196
678	2524	1193
679	2527	1189
680	2530	1185
681	2533	1181
682	2539	1178
683	2542	1174
684	2545	1170
685	2549	1166
686	2554	1163
687	2557	1159
688	2560	1155
689	2563	1151
690	2567	1148
691	2572	1144
692	2575	1140
693	2578	1136
694	2581	1132
695	2586	1129
696	2589	1125
697	2593	1121
698	2596	1118
699	2601	1114
700	2605	1111
701	2609	1107
702	2612	1103
703	2616	1100
704	2620	1096
705	2623	1092
706	2626	1088
707	2629	1084
708	2635	1081
709	2638	1077
710	2641	1073
711	2644	1069
712	2648	1066
713	2652	1062
714	2656	1058
715	2659	1054
716	2662	1050
717	2667	1047
718	2671	1044
719	2675	1040
720	2680	1037
721	2683	1033
722	2687	1029
723	2691	1026
724	2696	1022
725	2699	1018
726	2702	1014
727	2705	1010
728	2711	1008
729	2716	1004
730	2719	1000
731	2722	996
732	2727	993
733	2731	989
734	2734	985
735	2737	981
736	2742	978
737	2746	974
738	2749	971
739	2752	967
740	2756	963
741	2760	959
742	2763	956
743	2767	952
744	2771	948
745	2775	944
746	2778	940
747	2781	936
748	2784	933
749	2789	929
750	2793	926
751	2796	922
752	2799	918
753	2803	914
754	2807	911
755	2811	907
756	2814	903
757	2817	899
758	2823	896
759	2827	892
760	2830	888
761	2833	885
762	2839	881
763	2843	878
764	2846	874
765	2849	870
766	2853	866
767	2857	863
768	2860	859
769	2863	855
770	2866	851
771	2871	848
772	2875	844
773	2878	840
774	2881	836
775	2886	833
776	2889	829
777	2892	825
778	2895	821
779	2898	817
780	2903	814
781	2906	810
782	2910	806
783	2913	802
784	2918	799
785	2922	795
786	2925	791
787	2930	788
788	2936	785
789	2939	781
790	2942	777
791	2945	773
792	2949	770
793	2953	766
794	2957	762
795	2960	758
796	2963	754
797	2968	751
798	2971	747
799	2974	743
800	2978	739
801	2983	736
802	2986	732
803	2990	729
804	2994	725
805	2999	722
806	3003	718
807	3006	714
808	3009	710
809	3014	707
810	3019	703
811	3022	699
812	3025	695
813	3030	692
814	3035	689
815	3038	685
816	3042	681
817	3046	677
818	3049	674
819	3052	670
820	3055	666
821	3058	662
822	3064	658
823	3068	655
824	3070	651
825	3074	647
826	3078	644
827	3082	640
828	3085	636
829	3088	632
830	3091	628
831	3096	625
832	3099	621
833	3103	617
834	3106	613
835	3110	610
836	3114	606
837	3117	602
838	3121	598
839	3125	595
840	3130	591
841	3134	588
842	3138	584
843	3145	581
844	3148	577
845	3151	573
846	3154	569
847	3159	566
848	3162	562
849	3165	558
850	3168	554
851	3171	550
852	3176	547
853	3179	543
854	3182	539
855	3185	535
856	3189	532
857	3194	528
858	3197	524
859	3200	521
860	3203	517
861	3208	513
862	3211	509
863	3214	505
864	3218	502
865	3222	498
866	3227	495
867	3230	491
868	3233	487
869	3237	483
870	3241	480
871	3244	476
872	3247	472
873	3250	468
874	3254	464
875	3258	461
876	3261	457
877	3264	453
878	3268	449
879	3273	446
880	3276	442
881	3279	438
882	3282	434
883	3287	431
884	3291	427
885	3295	423
886	3299	420
887	3304	416
888	3308	413
889	3311	409
890	3314	405
891	3318	401
892	3322	398
893	3326	394
894	3329	390
895	3332	386
896	3337	383
897	3341	379
898	3344	375
899	3347	371
900	3353	368
901	3356	364
902	3359	360
903	3362	357
904	3366	353
905	3370	349
906	3373	345
907	3376	342
908	3380	338
909	3384	334
910	3388	331
911	3391	327
912	3394	323
913	3397	319
914	3402	316
915	3405	312
916	3408	308
917	3411	304
918	3415	301
919	3419	297
920	3422	293
921	3426	289
922	3429	286
923	3434	282
924	3437	278
925	3441	275
926	3445	271
927	3450	267
928	3453	263
929	3456	260
930	3459	256
931	3463	252
932	3467	248
933	3470	245
934	3473	241
935	3476	237
936	3481	234
937	3484	230
938	3487	226
939	3490	222
940	3493	219
941	3498	215
942	3502	211
943	3505	207
944	3508	204
945	3511	200
946	3516	196
947	3519	193
948	3522	189
949	3525	185
950	3530	181
951	3534	178
952	3537	174
953	3540	170
954	3545	167
955	3549	163
956	3552	159
957	3555	155
958	3558	152
959	3563	148
960	3566	144
961	3568	140
962	3572	137
963	3578	133
964	3581	129
965	3585	126
966	3588	122
967	3591	118
968	3595	115
969	3598	111
970	3602	107
971	3606	103
972	3611	100
973	3615	96
974	3618	92
975	3621	89
976	3626	85
977	3629	81
978	3633	77
979	3636	74
980	3641	70
981	3645	66
982	3648	63
983	3652	59
984	3656	55
985	3660	51
986	3663	48
987	3666	44
988	3669	40
989	3674	37
990	3678	33
991	3681	29
992	3684	25
993	3688	22
994	3692	18
995	3695	14
996	3698	11
997	3701	7
998	3706	3
999	3709	0
