iter	Passed	Remaining
742	4460	1542
743	4466	1536
744	4472	1530
745	4478	1524
746	4483	1518
747	4489	1512
748	4494	1506
749	4500	1500
750	4506	1494
751	4512	1488
752	4518	1482
753	4525	1476
754	4531	1470
755	4536	1464
756	4542	1458
757	4548	1452
758	4554	1446
759	4559	1439
760	4565	1433
761	4571	1427
762	4577	1421
763	4582	1415
764	4588	1409
765	4593	1403
766	4599	1397
767	4605	1391
768	4610	1385
769	4616	1379
770	4622	1372
771	4628	1366
772	4633	1360
773	4639	1354
774	4645	1348
775	4651	1342
776	4656	1336
777	4663	1330
778	4669	1324
779	4675	1318
780	4681	1312
781	4687	1306
782	4693	1300
783	4699	1294
784	4704	1288
785	4710	1282
786	4716	1276
787	4722	1270
788	4728	1264
789	4734	1258
790	4739	1252
791	4745	1246
792	4751	1240
793	4756	1234
794	4762	1228
795	4768	1221
796	4773	1215
797	4779	1209
798	4784	1203
799	4790	1197
800	4796	1191
801	4802	1185
802	4807	1179
803	4813	1173
804	4819	1167
805	4824	1161
806	4830	1155
807	4835	1149
808	4841	1143
809	4847	1136
810	4852	1130
811	4859	1125
812	4864	1118
813	4870	1112
814	4876	1106
815	4881	1100
816	4887	1094
817	4893	1088
818	4899	1082
819	4904	1076
820	4910	1070
821	4916	1064
822	4921	1058
823	4927	1052
824	4933	1046
825	4938	1040
826	4944	1034
827	4950	1028
828	4955	1022
829	4962	1016
830	4970	1010
831	4977	1005
832	4984	999
833	4990	993
834	4996	987
835	5001	981
836	5007	975
837	5013	969
838	5018	963
839	5024	957
840	5030	950
841	5035	944
842	5041	938
843	5046	932
844	5053	926
845	5058	920
846	5065	914
847	5071	909
848	5077	903
849	5083	897
850	5089	891
851	5094	885
852	5100	878
853	5106	872
854	5111	866
855	5117	860
856	5122	854
857	5128	848
858	5134	842
859	5139	836
860	5147	831
861	5153	825
862	5159	819
863	5164	812
864	5171	807
865	5177	801
866	5182	795
867	5188	789
868	5194	783
869	5200	777
870	5206	771
871	5211	765
872	5218	759
873	5223	753
874	5229	747
875	5235	741
876	5240	734
877	5246	728
878	5251	722
879	5257	716
880	5263	710
